sos_id,submitted_at,user_id,latitude,longitude,location_name,request_type,severity,people_count,description,contact_number,status,assigned_to,resolved_at,photo_id,source
SOS0001,2026-09-07T15:25:50Z,U1011,25.3824,91.7116,"Cherrapunji, Meghalaya",food,high,6,"SOS from Cherrapunji, Meghalaya: shelter needed urgently.",+917400892179,cancelled,,,PH0001,resqnet_citizen
SOS0002,2026-09-08T04:29:50Z,U6005,26.7961,94.2547,"Jorhat, Assam",missing_person,low,4,"SOS from Jorhat, Assam: trapped needed urgently.",+917916636971,in_progress,,2026-09-03T05:54:50Z,PH0002,resqnet_citizen
SOS0003,2026-09-08T16:10:50Z,U3165,25.2795,91.6718,"Cherrapunji, Meghalaya",medical,low,4,"SOS from Cherrapunji, Meghalaya: rescue needed urgently.",+918578665411,assigned,,2026-09-07T09:11:50Z,,resqnet_citizen
SOS0004,2026-09-01T05:15:50Z,U3688,25.888,93.7745,"Dimapur, Nagaland",food,critical,20,"SOS from Dimapur, Nagaland: evacuation needed urgently.",+917933058809,pending,RESP005,2026-09-03T18:27:50Z,,resqnet_citizen
SOS0005,2026-09-06T21:13:50Z,U2380,24.7666,93.957,"Imphal, Manipur",shelter,low,10,"SOS from Imphal, Manipur: water needed urgently.",+919223715568,resolved,RESP013,,,resqnet_citizen
SOS0006,2026-08-28T22:23:50Z,U7322,24.2555,93.6829,"Churachandpur, Manipur",medical,low,12,"SOS from Churachandpur, Manipur: rescue needed urgently.",+917566862173,in_progress,RESP019,,,resqnet_citizen
SOS0007,2026-08-28T14:05:50Z,U2195,24.7203,93.8503,"Imphal, Manipur",shelter,moderate,2,"SOS from Imphal, Manipur: trapped needed urgently.",+918709289717,resolved,,2026-09-03T16:10:50Z,,resqnet_citizen
SOS0008,2026-09-01T12:15:50Z,U3501,26.7064,94.1657,"Jorhat, Assam",water,moderate,18,"SOS from Jorhat, Assam: rescue needed urgently.",+918678179022,resolved,RESP003,,,resqnet_citizen
SOS0009,2026-09-07T04:39:50Z,U2412,25.3689,91.6492,"Cherrapunji, Meghalaya",trapped,high,6,"SOS from Cherrapunji, Meghalaya: medical needed urgently.",+917054395639,cancelled,,,,resqnet_citizen
SOS0010,2026-09-01T13:04:50Z,U5247,27.0178,93.5307,"Itanagar, Arunachal",shelter,low,1,"SOS from Itanagar, Arunachal: rescue needed urgently.",+918843934986,assigned,RESP009,2026-09-08T14:25:50Z,,resqnet_citizen
SOS0011,2026-09-02T11:44:50Z,U7024,26.076,91.7909,"Guwahati, Assam",medical,moderate,17,"SOS from Guwahati, Assam: trapped needed urgently.",+917189141363,pending,,,,resqnet_citizen
SOS0012,2026-09-08T04:19:50Z,U7870,24.7619,93.8865,"Imphal, Manipur",rescue,high,3,"SOS from Imphal, Manipur: rescue needed urgently.",+917512823094,resolved,RESP002,,PH0012,resqnet_citizen
SOS0013,2026-09-04T02:58:50Z,U8620,26.2177,91.7909,"Guwahati, Assam",shelter,high,3,"SOS from Guwahati, Assam: evacuation needed urgently.",+917034227351,assigned,,2026-09-05T06:15:50Z,,resqnet_citizen
SOS0014,2026-08-31T14:05:50Z,U4201,27.1309,93.6146,"Itanagar, Arunachal",water,moderate,1,"SOS from Itanagar, Arunachal: missing_person needed urgently.",+917102693781,acknowledged,RESP001,2026-09-09T08:30:50Z,PH0014,resqnet_citizen
SOS0015,2026-09-06T02:41:50Z,U9680,26.7304,92.7766,"Tezpur, Assam",trapped,moderate,9,"SOS from Tezpur, Assam: medical needed urgently.",+917188550198,acknowledged,RESP017,,PH0015,resqnet_citizen
SOS0016,2026-08-30T03:17:50Z,U2565,27.3325,88.6412,"Gangtok, Sikkim",missing_person,low,19,"SOS from Gangtok, Sikkim: trapped needed urgently.",+918868237222,cancelled,RESP008,,PH0016,resqnet_citizen
SOS0017,2026-08-28T17:10:50Z,U6345,24.2966,93.6374,"Churachandpur, Manipur",medical,moderate,5,"SOS from Churachandpur, Manipur: medical needed urgently.",+917667483244,pending,,,,resqnet_citizen
SOS0018,2026-09-04T23:26:50Z,U6051,25.8927,93.8005,"Dimapur, Nagaland",medical,moderate,10,"SOS from Dimapur, Nagaland: trapped needed urgently.",+917923507241,assigned,,2026-09-04T17:22:50Z,,resqnet_citizen
SOS0019,2026-09-06T00:53:50Z,U7625,25.746,94.1198,"Kohima, Nagaland",water,low,15,"SOS from Kohima, Nagaland: medical needed urgently.",+917600406558,pending,,2026-09-07T01:42:50Z,PH0019,resqnet_citizen
SOS0020,2026-08-30T09:13:50Z,U2376,27.1009,93.5571,"Itanagar, Arunachal",medical,low,3,"SOS from Itanagar, Arunachal: water needed urgently.",+919774492599,in_progress,RESP003,2026-09-05T02:52:50Z,PH0020,resqnet_citizen
SOS0021,2026-09-07T11:27:50Z,U7471,26.1437,91.7127,"Guwahati, Assam",missing_person,moderate,12,"SOS from Guwahati, Assam: water needed urgently.",+917803807914,assigned,,2026-09-09T10:15:50Z,PH0021,resqnet_citizen
SOS0022,2026-09-05T14:28:50Z,U8848,26.6631,94.1597,"Jorhat, Assam",food,critical,7,"SOS from Jorhat, Assam: water needed urgently.",+919709069459,resolved,RESP013,2026-09-04T14:20:50Z,PH0022,resqnet_citizen
SOS0023,2026-08-26T11:22:50Z,U6269,27.0621,93.5413,"Itanagar, Arunachal",rescue,moderate,1,"SOS from Itanagar, Arunachal: shelter needed urgently.",+917251647421,in_progress,RESP019,2026-09-08T02:39:50Z,PH0023,resqnet_citizen
SOS0024,2026-09-01T06:51:50Z,U4594,25.6902,94.2051,"Kohima, Nagaland",missing_person,high,6,"SOS from Kohima, Nagaland: food needed urgently.",+918015979384,resolved,,2026-09-04T11:53:50Z,PH0024,resqnet_citizen
SOS0025,2026-08-31T11:45:50Z,U4084,27.1517,93.6674,"Itanagar, Arunachal",evacuation,high,6,"SOS from Itanagar, Arunachal: evacuation needed urgently.",+917163053047,pending,,2026-09-09T13:24:50Z,,resqnet_citizen
SOS0026,2026-08-31T23:03:50Z,U3137,24.3012,93.6185,"Churachandpur, Manipur",rescue,low,1,"SOS from Churachandpur, Manipur: food needed urgently.",+919519467229,cancelled,RESP004,2026-09-05T03:31:50Z,PH0026,resqnet_citizen
SOS0027,2026-09-03T11:48:50Z,U6514,26.7113,94.131,"Jorhat, Assam",food,critical,16,"SOS from Jorhat, Assam: rescue needed urgently.",+917748194762,cancelled,RESP020,2026-09-06T08:17:50Z,PH0027,resqnet_citizen
SOS0028,2026-09-05T06:10:50Z,U5825,23.757,91.3326,"Agartala, Tripura",missing_person,low,6,"SOS from Agartala, Tripura: rescue needed urgently.",+919625862062,acknowledged,RESP004,2026-09-07T19:07:50Z,,resqnet_citizen
SOS0029,2026-09-05T00:14:50Z,U2453,27.1487,93.6393,"Itanagar, Arunachal",rescue,critical,1,"SOS from Itanagar, Arunachal: shelter needed urgently.",+917900587144,acknowledged,RESP012,,,resqnet_citizen
SOS0030,2026-09-09T17:26:50Z,U7875,26.2383,91.8131,"Guwahati, Assam",evacuation,critical,12,"SOS from Guwahati, Assam: missing_person needed urgently.",+917435632331,in_progress,RESP019,2026-09-07T00:26:50Z,,resqnet_citizen
SOS0031,2026-09-09T20:53:50Z,U6221,25.2362,91.6469,"Cherrapunji, Meghalaya",rescue,moderate,13,"SOS from Cherrapunji, Meghalaya: food needed urgently.",+917322132937,resolved,RESP003,,PH0031,resqnet_citizen
SOS0032,2026-09-02T07:53:50Z,U8066,24.4215,93.616,"Churachandpur, Manipur",missing_person,moderate,2,"SOS from Churachandpur, Manipur: medical needed urgently.",+918422040412,acknowledged,RESP014,2026-09-05T08:36:50Z,,resqnet_citizen
SOS0033,2026-09-09T17:18:50Z,U9043,25.5095,91.8655,"Shillong, Meghalaya",missing_person,low,10,"SOS from Shillong, Meghalaya: evacuation needed urgently.",+917857596764,pending,,,,resqnet_citizen
SOS0034,2026-09-03T02:35:50Z,U7512,25.573,91.9723,"Shillong, Meghalaya",shelter,low,18,"SOS from Shillong, Meghalaya: missing_person needed urgently.",+917794058803,assigned,RESP012,,,resqnet_citizen
SOS0035,2026-09-02T21:40:50Z,U5400,27.3442,88.544,"Gangtok, Sikkim",medical,low,12,"SOS from Gangtok, Sikkim: missing_person needed urgently.",+919532855799,acknowledged,RESP013,2026-09-03T12:11:50Z,PH0035,resqnet_citizen
SOS0036,2026-08-31T22:24:50Z,U5896,27.2472,88.6944,"Gangtok, Sikkim",trapped,moderate,4,"SOS from Gangtok, Sikkim: evacuation needed urgently.",+917742509523,acknowledged,RESP007,,,resqnet_citizen
SOS0037,2026-09-03T23:02:50Z,U3422,26.8177,94.1553,"Jorhat, Assam",medical,low,13,"SOS from Jorhat, Assam: missing_person needed urgently.",+919371054709,assigned,RESP017,,PH0037,resqnet_citizen
SOS0038,2026-08-29T10:17:50Z,U9561,25.3543,91.505,"Mawsynram, Meghalaya",food,moderate,19,"SOS from Mawsynram, Meghalaya: medical needed urgently.",+917453698094,resolved,RESP010,2026-09-04T16:38:50Z,,resqnet_citizen
