responder_id,name,team,role,latitude,longitude,location_name,capabilities,availability,assigned_sos_id,contact_number,last_reported_at,source
RESP001,Responder_001,Medical_Team,operator,24.8341,93.9328,"Imphal, Manipur",first_aid|driving|mountaineering,on_mission,,+917390198781,2026-09-08T20:59:50Z,authority_volunteer_portal
RESP002,Responder_002,Police,volunteer,25.2023,91.6313,"Cherrapunji, Meghalaya",rescue|mountaineering,off_duty,,+919332542030,2026-09-08T06:43:50Z,authority_volunteer_portal
RESP003,Responder_003,Red_Cross_Volunteer,medic,24.2613,93.5083,"Churachandpur, Manipur",trauma_support,standby,,+918934425509,2026-09-08T12:45:50Z,authority_volunteer_portal
RESP004,Responder_004,SDRF,team_leader,24.8426,92.6056,"Silchar, Assam",medical|search|trauma_support,on_mission,,+916134319747,2026-09-10T02:23:50Z,authority_volunteer_portal
RESP005,Responder_005,Search_And_Rescue,volunteer,23.7903,92.7279,"Aizawl, Mizoram",first_aid,off_duty,,+916947997148,2026-09-10T04:55:50Z,authority_volunteer_portal
RESP006,Responder_006,Army,team_leader,24.2774,93.7804,"Churachandpur, Manipur",driving|rescue,standby,SOS0051,+919042699946,2026-09-09T10:37:50Z,authority_volunteer_portal
RESP007,Responder_007,Civil_Defence,team_leader,26.0778,93.9142,"Dimapur, Nagaland",rescue,available,,+916992214765,2026-09-08T23:42:50Z,authority_volunteer_portal
RESP008,Responder_008,Medical_Team,volunteer,25.9984,93.8365,"Dimapur, Nagaland",trauma_support|flood_ops,off_duty,SOS0045,+918857194152,2026-09-09T02:44:50Z,authority_volunteer_portal
RESP009,Responder_009,Medical_Team,operator,25.361,91.5961,"Mawsynram, Meghalaya",mountaineering|search,standby,SOS0058,+917353580387,2026-09-08T18:28:50Z,authority_volunteer_portal
RESP010,Responder_010,Medical_Team,operator,25.242,91.5635,"Mawsynram, Meghalaya",medical|logistics|mountaineering|driving,standby,,+916148876024,2026-09-08T10:53:50Z,authority_volunteer_portal
RESP011,Responder_011,Civil_Defence,medic,25.7859,93.656,"Dimapur, Nagaland",communication|first_aid,off_duty,SOS0033,+918389389445,2026-09-10T02:52:50Z,authority_volunteer_portal
RESP012,Responder_012,Red_Cross_Volunteer,medic,27.2246,88.7382,"Gangtok, Sikkim",flood_ops|trauma_support|communication,available,,+918444115276,2026-09-09T06:50:50Z,authority_volunteer_portal
RESP013,Responder_013,Search_And_Rescue,team_leader,26.6719,92.7128,"Tezpur, Assam",driving|flood_ops|trauma_support,standby,,+916240186197,2026-09-08T17:58:50Z,authority_volunteer_portal
RESP014,Responder_014,Search_And_Rescue,team_leader,25.3376,91.7789,"Cherrapunji, Meghalaya",search|rescue|logistics|medical,available,,+916176876436,2026-09-08T12:18:50Z,authority_volunteer_portal
RESP015,Responder_015,NDRF,volunteer,25.0054,94.0379,"Imphal, Manipur",mountaineering|logistics|flood_ops,available,,+917244608630,2026-09-09T01:46:50Z,authority_volunteer_portal
RESP016,Responder_016,Search_And_Rescue,team_leader,27.1037,93.5103,"Itanagar, Arunachal",driving,standby,,+919323553651,2026-09-10T01:24:50Z,authority_volunteer_portal
RESP017,Responder_017,Search_And_Rescue,medic,25.9245,93.9288,"Dimapur, Nagaland",driving|search,on_mission,,+917143565474,2026-09-08T19:11:50Z,authority_volunteer_portal
RESP018,Responder_018,NGO_Volunteer,volunteer,24.2791,93.5592,"Churachandpur, Manipur",rescue,off_duty,,+916103967542,2026-09-09T00:32:50Z,authority_volunteer_portal
RESP019,Responder_019,Fire_Brigade,medic,24.9074,92.6413,"Silchar, Assam",trauma_support|flood_ops|driving|first_aid,available,,+916234238999,2026-09-09T09:55:50Z,authority_volunteer_portal
RESP020,Responder_020,Civil_Defence,volunteer,24.8055,93.8696,"Imphal, Manipur",first_aid|medical|rescue,on_mission,,+918247409826,2026-09-08T12:24:50Z,authority_volunteer_portal
RESP021,Responder_021,Search_And_Rescue,team_leader,24.7355,92.6029,"Silchar, Assam",first_aid|search,on_mission,SOS0040,+917165144965,2026-09-09T15:13:50Z,authority_volunteer_portal
RESP022,Responder_022,Civil_Defence,operator,26.2902,91.5438,"Guwahati, Assam",search,standby,,+917635099223,2026-09-09T19:23:50Z,authority_volunteer_portal
RESP023,Responder_023,Fire_Brigade,volunteer,25.3083,91.811,"Cherrapunji, Meghalaya",flood_ops,available,,+918273821684,2026-09-08T19:23:50Z,authority_volunteer_portal
RESP024,Responder_024,Red_Cross_Volunteer,operator,23.8816,91.1813,"Agartala, Tripura",first_aid|medical,off_duty,SOS0041,+917106724433,2026-09-09T05:19:50Z,authority_volunteer_portal
RESP025,Responder_025,NGO_Volunteer,medic,25.5102,94.0615,"Kohima, Nagaland",flood_ops|medical,on_mission,,+918460580557,2026-09-09T16:35:50Z,authority_volunteer_portal
RESP026,Responder_026,Fire_Brigade,medic,24.3654,93.7566,"Churachandpur, Manipur",driving|mountaineering|flood_ops,on_mission,SOS0020,+918957222810,2026-09-09T15:56:50Z,authority_volunteer_portal
RESP027,Responder_027,Red_Cross_Volunteer,team_leader,25.3209,91.7619,"Mawsynram, Meghalaya",trauma_support|flood_ops,available,,+919605721705,2026-09-09T06:53:50Z,authority_volunteer_portal
RESP028,Responder_028,Army,operator,25.1588,91.4577,"Mawsynram, Meghalaya",search|trauma_support|communication,on_mission,,+919274687003,2026-09-08T10:18:50Z,authority_volunteer_portal
RESP029,Responder_029,Fire_Brigade,team_leader,24.777,92.8542,"Silchar, Assam",trauma_support|logistics,standby,,+919634136054,2026-09-08T07:13:50Z,authority_volunteer_portal
RESP030,Responder_030,Army,medic,26.9499,93.4958,"Itanagar, Arunachal",search|driving,standby,SOS0001,+919974713419,2026-09-08T16:40:50Z,authority_volunteer_portal
